Player,Squad,Comp,Position_Primary,Age_Group,Age,Min,MP,Starts,Gls,Ast,xG,xAG,90s,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shot_Accuracy,Pass_Completion_Rate,Tackles_per_90,Interceptions_per_90,Age_Squared,Age_x_Goals,Minutes_x_Goals_per_90,market_value_in_eur,Log_Market_Value,Value_per_Goal,League_de Bundesliga,League_eng Premier League,League_es La Liga,League_fr Ligue 1,League_it Serie A,Position_DF,Position_FW,Position_GK,Position_MF
Ilias Akhomach,Villarreal,es La Liga,MF,Young,20.0,584,11,7,1,0,0.6,1.0,6.488888888888889,0.1538724568302274,0.0,0.1538724568302274,0.09232347409813643,0.1538724568302274,2.6158317661138657,0.3527336860670194,0.7350954002486353,1.8464694819627288,0.4616173704906822,400.0,20.0,89.8615147888528,15000000,16.52356082573315,7500000.0,False,False,True,False,False,False,False,False,True
Sergio Akieme,Reims,fr Ligue 1,DF,Prime,26.0,2523,30,29,2,3,1.5,2.5,28.033333333333335,0.07131819802686318,0.10697729704029477,0.17829549506715794,0.05348864852014738,0.08914774753357897,0.9271365743492214,0.2691272587466359,0.8099319099223198,1.212409366456674,0.606204683228337,676.0,52.0,179.9358136217758,7000000,15.76142084987672,2333333.3333333335,False,False,False,True,False,True,False,False,False
Maghnes Akliouche,Monaco,fr Ligue 1,FW,Young,22.0,2406,32,27,5,10,9.2,7.3,26.733333333333334,0.1869624828617724,0.3739249657235448,0.5608874485853171,0.34401096846566115,0.2729652249781877,2.280942290913623,0.2786428454351746,0.8133156799697371,1.9070173251900784,0.5608874485853171,484.0,110.0,449.83173376542436,40000000,17.50439003707821,6666666.666666667,False,False,False,True,False,False,True,False,False
Paul Akouokou,Lyon,fr Ligue 1,MF,Prime,26.0,19,2,0,0,0,0.0,0.0,0.2111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6662225183211192,4.522613065326633,2.8347121037593386,676.0,0.0,0.0,800000,13.592368256649284,800000.0,False,False,False,True,False,False,False,False,True
Clément Akpa,Auxerre,fr Ligue 1,DF,Young,22.0,2486,31,29,0,1,0.3,0.9,27.622222222222224,0.0,0.03618963368048574,0.03618963368048574,0.010856890104145723,0.03257067031243717,0.21713780208291444,0.1663893510815308,0.8254687719704552,1.9904298524267159,1.519964614580401,484.0,0.0,0.0,3000000,14.914123179965662,3000000.0,False,False,False,True,False,True,False,False,False
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,Prime,29.0,2220,32,23,0,0,0.1,0.3,24.666666666666668,0.0,0.0,0.0,0.004052411184654869,0.012157233553964607,0.20262055923274347,0.1996007984031936,0.8714326411056165,2.1883020397136295,1.1751992435499121,841.0,0.0,0.0,2500000,14.731801689838349,2500000.0,True,False,False,False,False,True,False,False,False
Chuba Akpom,Lille,fr Ligue 1,FW,Prime,28.0,639,14,6,3,1,5.0,0.5,7.1,0.4219409282700422,0.1406469760900141,0.5625879043600563,0.7032348804500704,0.07032348804500704,2.5316455696202533,0.49972237645752354,0.6766993233006766,1.1251758087201127,0.0,784.0,84.0,269.62025316455697,8000000,15.894952224644102,2000000.0,False,False,False,True,False,False,True,False,False
David Alaba,Real Madrid,es La Liga,DF,Veteran,32.0,317,7,4,0,0,0.0,0.1,3.522222222222222,0.0,0.0,0.0,0.0,0.0283107895564643,0.0,0.0,0.9034691460900838,0.283107895564643,1.698647373387858,1024.0,0.0,0.0,10000000,16.118095750958314,10000000.0,False,False,True,False,False,True,False,False,False
Andreas Albers,St. Pauli,de Bundesliga,FW,Veteran,34.0,62,14,0,1,0,0.6,0.1,0.6888888888888889,0.888505159277531,0.0,1.0974747638345033,0.8276814461978503,0.14308426073131955,4.292527821939586,0.33222591362126247,0.5170630816959669,1.4308426073131955,0.0,1156.0,34.0,88.71224165341812,300000,12.611541086966115,150000.0,True,False,False,False,False,False,True,False,False
Raúl Albiol,Villarreal,es La Liga,DF,Veteran,38.0,1188,15,14,0,0,0.1,0.0,13.2,0.0,0.0,0.0,0.007570022710068131,0.0,0.1514004542013626,0.0,0.8942079433217304,0.757002271006813,0.45420136260408783,1444.0,0.0,0.0,1300000,14.077875591662238,1300000.0,False,False,True,False,False,True,False,False,False
Carlos Alcaraz,Southampton,eng Premier League,MF,Young,21.0,10,1,0,0,0,0.1,0.1,0.1111111111111111,0.0,0.0,0.0,0.8256880733944956,0.4852349860251563,5.325443786982248,0.9900990099009901,0.9950248756218907,0.0,2.8347121037593386,441.0,0.0,0.0,14000000,16.454567959008102,14000000.0,False,True,False,False,False,False,False,False,True
Carlos Alcaraz,Everton,eng Premier League,FW,Young,21.0,764,15,7,2,3,1.7,1.6,8.488888888888889,0.23532487906915936,0.35298731860373905,0.5883121976728984,0.20002614720878545,0.18825990325532752,3.059223427899072,0.4229142637447135,0.8057264127189669,1.2942868348803764,0.5883121976728984,441.0,42.0,179.78820760883775,14000000,16.454567959008102,4666666.666666667,False,True,False,False,False,False,True,False,False
Omar Alderete,Getafe,es La Liga,DF,Prime,27.0,2971,34,34,1,0,1.7,0.9,33.01111111111111,0.030283656919815605,0.0,0.030283656919815605,0.05148221676368653,0.027255291227834048,1.150778962952993,0.26308866087871613,0.6546052928997025,1.3021972475520711,1.2113462767926242,729.0,27.0,89.97274470877217,8000000,15.894952224644102,4000000.0,False,False,True,False,False,True,False,False,False
