Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Ola Solbakken,Empoli,it Serie A,MF,25.0,0,0,2500000,1211857.1858317796,-1288142.8141682204,2.5,1.2118571858317797,-1.2881428141682203
André Gomes,Lille,fr Ligue 1,MF,31.0,0,0,8000000,6735587.624911676,-1264412.3750883238,8.0,6.735587624911676,-1.2644123750883238
Luis Sinisterra,Bournemouth,eng Premier League,FW,25.0,1,1,17000000,15742822.96208298,-1257177.0379170198,17.0,15.74282296208298,-1.2571770379170197
Stefan Bajcetic,Las Palmas,es La Liga,MF,19.0,1,0,9000000,7753412.723989377,-1246587.2760106232,9.0,7.753412723989377,-1.2465872760106231
Yann Sommer,Inter,it Serie A,GK,35.0,0,0,4000000,2786306.824988533,-1213693.1750114672,4.0,2.7863068249885328,-1.2136931750114672
Álvaro Morata,Milan,it Serie A,FW,31.0,5,0,13000000,11807104.85581041,-1192895.1441895906,13.0,11.80710485581041,-1.1928951441895905
Mario Maroto,Valladolid,es La Liga,MF,20.0,0,1,200000,-669773.7647651993,-869773.7647651993,0.2,-0.6697737647651992,-0.8697737647651993
Davide Calabria,Bologna,it Serie A,DF,27.0,0,1,7500000,6813029.669295894,-686970.330704106,7.5,6.813029669295894,-0.6869703307041061
Davide Calabria,Milan,it Serie A,DF,27.0,0,0,7500000,6813029.669295894,-686970.330704106,7.5,6.813029669295894,-0.6869703307041061
David Otorbi,Valencia,es La Liga,MF,16.0,0,0,500000,-118530.29538562337,-618530.2953856234,0.5,-0.11853029538562336,-0.6185302953856233
Cameron Archer,Southampton,eng Premier League,FW,23.0,2,0,14000000,13404908.999890195,-595091.0001098048,14.0,13.404908999890194,-0.5950910001098048
Sergio Herrera,Osasuna,es La Liga,GK,31.0,0,0,4000000,3631059.7707578745,-368940.2292421255,4.0,3.6310597707578744,-0.36894022924212555
Ivan Provedel,Lazio,it Serie A,GK,30.0,0,0,7000000,6632534.971412609,-367465.02858739067,7.0,6.63253497141261,-0.36746502858739066
Antonio Sánchez,Mallorca,es La Liga,MF,27.0,0,0,2500000,2155750.7415206823,-344249.25847931765,2.5,2.1557507415206825,-0.34424925847931764
Samuel Edozie,Southampton,eng Premier League,DF,21.0,0,0,8000000,7697319.501051722,-302680.4989482779,8.0,7.697319501051722,-0.3026804989482779
Jesse Joronen,Venezia,it Serie A,GK,31.0,0,0,600000,318420.1499844324,-281579.8500155676,0.6,0.3184201499844324,-0.2815798500155676
Lucas Perri,Lyon,fr Ligue 1,GK,26.0,0,0,10000000,9876443.670691978,-123556.32930802181,10.0,9.876443670691978,-0.12355632930802181
Nordi Mukiele,Leverkusen,de Bundesliga,DF,26.0,1,0,10000000,9879628.46966504,-120371.53033496067,10.0,9.87962846966504,-0.12037153033496067
